MOVIES,YEAR,RATING,VOTES,RunTime,Gross
Blood Red Sky,-2021,6.1,"21,062",121,
Masters of the Universe: Revelation,(2021– ),5,"17,870",25,
The Walking Dead,(2010–2022),8.2,"885,805",44,
Rick and Morty,(2013– ),9.2,"414,849",23,
Army of Thieves,-2021,,,,
Outer Banks,(2020– ),7.6,"25,858",50,
The Last Letter from Your Lover,-2021,6.8,"5,283",110,
Dexter,(2006–2013),8.6,"665,387",53,
Never Have I Ever,(2020– ),7.9,"34,530",30,
Virgin River,(2019– ),7.4,"27,279",44,
Gunpowder Milkshake,-2021,6,"17,989",114,
Lucifer,(2016–2021),8.1,"264,222",42,
Fear Street: 1994,-2021,6.2,"50,148",107,
Sex/Life,(2021– ),5.4,"12,172",,
American Horror Story,(2011– ),8,"286,488",60,
Grey's Anatomy,(2005– ),7.5,"266,258",41,
Breaking Bad,(2008–2013),9.4,"1,552,311",49,
The Good Doctor,(2017– ),8.1,"70,871",41,
Atypical,(2017–2021),8.3,"71,544",30,
Stranger Things,(2016– ),8.7,"885,856",51,
Fear Street: 1978,-2021,6.8,"36,634",109,
Friends,(1994–2004),8.9,"880,918",22,
The Flash,(2014– ),7.6,"320,264",43,
Peaky Blinders,(2013– ),8.8,"393,414",60,
He-Man and the Masters of the Universe,(2021– ),,,,
Chernobyl,-2021,5,"4,681",136,
Vikings,(2013–2020),8.5,"459,913",44,
Better Call Saul,(2015– ),8.8,"347,857",46,
Supernatural,(2005–2020),8.4,"404,273",44,
The Blacklist,(2013– ),8,"213,522",43,
Fear Street: 1666,-2021,6.7,"27,447",114,
Animal Kingdom,(2016– ),8.2,"26,926",60,
Brooklyn Nine-Nine,(2013–2022),8.4,"248,583",22,
NCIS: Naval Criminal Investigative Service,(2003– ),7.7,"125,619",60,
Kingdom,(2019– ),8.4,"34,906",45,
Modern Family,(2009–2020),8.4,"378,030",22,
Titans,(I) (2018– ),7.7,"73,656",45,
The Witcher,(2019– ),8.2,"336,484",60,
Downton Abbey,(2010–2015),8.7,"171,804",58,
Shingeki no kyojin,(2013–2022),9,"242,582",24,
Suits,(2011–2019),8.4,"374,263",44,
La casa de papel,(2017–2021),8.3,"341,858",70,
Schitt's Creek,(2015–2020),8.5,"90,728",22,
Outlander,(2014– ),8.4,"134,991",64,
The Last Kingdom,(2015– ),8.4,"94,650",60,
Black Mirror,(2011– ),8.8,"469,407",60,
Ozark,(2017– ),8.4,"206,090",60,
The Crown,(2016– ),8.6,"169,517",58,
Sweet Tooth,(2021– ),7.9,"37,142",,
Army of the Dead,-2021,5.8,"132,378",148,
Fargo,(2014– ),8.9,"341,221",53,
How I Met Your Mother,(2005–2014),8.3,"624,036",22,
Community,(2009–2015),8.5,"231,013",22,
Sons of Anarchy,(2008–2014),8.5,"270,445",45,
StartUp,(2016–2018),7.9,"22,971",44,
The Vampire Diaries,(2009–2017),7.7,"293,434",43,
365 dni,-2020,3.3,"63,620",114,
How to Sell Drugs Online (Fast),(2019– ),7.9,"23,960",30,
Good Girls,(2018–2021),7.8,"38,618",43,
13 Reasons Why,(2017–2020),7.6,"266,386",60,
The Queen's Gambit,-2020,8.6,"336,801",395,
Legends of Tomorrow,(2016– ),6.8,"95,897",42,
Star Trek: The Next Generation,(1987–1994),8.6,"106,181",44,
Le dernier mercenaire,-2021,5.4,"2,606",110,
Resort to Love,-2021,5.7,"1,591",101,
Evil,(2019– ),7.7,"15,048",42,
The Expanse,(2015– ),8.5,"119,644",60,
New Amsterdam,(2018– ),8.1,"27,709",43,
Line of Duty,(2012– ),8.7,"46,751",60,
The 100,(2014–2020),7.6,"226,962",43,
New Girl,(2011–2018),7.7,"200,421",22,
Prison Break,(2005–2017),8.3,"492,438",44,
Sex Education,(2019– ),8.3,"177,274",45,
A Classic Horror Story,-2021,5.7,"8,822",95,
Feels Like Ishq,(2021– ),6.6,848,32,
Young Royals,(2021– ),8.6,"16,954",50,
Shadow and Bone,(2021– ),7.7,"60,283",,
The Hitman's Bodyguard,-2017,6.9,"205,979",118,$75.47M
Mad Men,(2007–2015),8.6,"216,203",47,
Élite,(2018– ),7.5,"59,730",60,
Gilmore Girls,(2000–2007),8.1,"106,650",44,
Sky Rojo,(2021– ),6.5,"6,940",31,
Lupin,(2021– ),7.5,"84,428",45,
Trollhunters: Rise of the Titans,-2021,6.9,"2,353",104,
Heartland,(II) (2007– ),8.4,"11,764",45,
Jurassic Park,-1993,8.1,"897,444",127,$402.45M
Family Guy,(1999–2022),8.1,"312,584",22,
Daredevil,(2015–2018),8.6,"374,963",54,
Dark,(2017–2020),8.8,"312,629",60,
Boku no hîrô akademia,(2016– ),8.4,"44,367",24,
Cobra Kai,(2018– ),8.6,"122,268",30,
 Kingdom,(2019– ),7.1,"6,388",92,
Gotham,(2014–2019),7.8,"216,458",42,
Billions,(2016– ),8.4,"74,094",60,
Agents of S.H.I.E.L.D.,(2013–2020),7.5,"205,119",45,
Don't Breathe,-2016,7.1,"237,601",88,$89.22M
The Ice Road,-2021,5.6,"20,561",109,
Arrow,(2012–2020),7.5,"414,712",42,
Orange Is the New Black,(2013–2019),8,"284,554",59,
Gossip Girl,(2007–2012),7.4,"159,666",42,
Bridgerton,(2020– ),7.3,"83,944",60,
The Kominsky Method,(2018–2021),8.2,"33,440",30,
Homeland,(2011–2020),8.3,"322,307",55,
Riverdale,(2017– ),6.8,"126,112",45,
Sherlock,(2010–2017),9.1,"839,029",88,
La cocinera de Castamar,-2021,7.4,"1,336",,
Queen of the South,(2016–2021),8,"23,318",42,
CSI: Crime Scene Investigation,(2000–2015),7.6,"78,589",60,
The Umbrella Academy,(2019– ),8,"175,513",60,
Supergirl,(2015–2021),6.2,"115,373",43,
BoJack Horseman,(2014–2020),8.7,"124,318",25,
The Lord of the Rings: The Fellowship of the Ring,-2001,8.8,"1,713,028",178,$315.54M
I Think You Should Leave with Tim Robinson,(2019– ),7.8,"8,095",16,
South Park,(1997– ),8.7,"340,148",22,
Once Upon a Time,(2011–2018),7.7,"212,616",60,
Star Trek: Discovery,(2017– ),7.2,"101,079",60,
Teen Wolf,(2011–2017),7.6,"132,950",41,
How to Get Away with Murder,(2014–2020),8.1,"136,135",43,
Star Trek: Deep Space Nine,(1993–1999),8,"55,687",45,
Seinfeld,(1989–1998),8.8,"264,801",22,
Spartacus: Blood and Sand,(2010–2013),8.5,"228,484",55,
Hawaii Five-0,(2010–2020),7.3,"68,627",42,
Good Witch,(2015–2021),7.3,"8,268",48,
The Sinner,(2017– ),7.9,"96,901",45,
Arrested Development,(2003–2019),8.7,"284,373",22,
Escape Room,(I) (2019),6.4,"99,351",99,$57.01M
You,(2018– ),7.7,"157,666",45,
Mindhunter,(2017–2019),8.6,"235,694",60,
Jaws,-1975,8,"558,731",124,$260.00M
Avatar: The Last Airbender,(2005–2008),9.3,"265,845",23,
The Punisher,(2017–2019),8.5,"194,777",53,
Star Trek: Voyager,(1995–2001),7.8,"61,917",44,
The Departed,-2006,8.5,"1,227,522",151,$132.38M
Narcos,(2015–2017),8.8,"375,261",49,
The Serpent,-2021,7.6,"33,936",58,
Star Wars: The Clone Wars,(2008–2020),8.3,"71,904",23,
"Murder, She Wrote",(1984–1996),7,"20,330",50,
Fatherhood,-2021,6.7,"26,508",109,
Blue Bloods,(2010– ),7.6,"34,064",43,
Heist,(2021– ),6.8,846,41,
The Woman in the Window,-2021,5.7,"57,048",100,
Black Summer,(2019– ),6.5,"25,453",40,
Katla,(2021– ),7.1,"8,391",,
Gone Girl,-2014,8.1,"895,888",149,$167.77M
Jumanji: Welcome to the Jungle,-2017,6.9,"337,900",119,$404.52M
American Psycho,-2000,7.6,"517,014",101,$15.07M
House of Cards,(2013–2018),8.7,"476,656",51,
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),7.7,"8,300",20,
Mayor Grom: Chumnoy Doktor,-2021,6.3,"8,466",136,
Demon Slayer: Kimetsu No Yaiba,(2019– ),8.7,"46,259",25,
Jane the Virgin,(2014–2019),7.8,"41,758",60,
The Good Wife,(2009–2016),8.3,"70,021",43,
The Good Place,(2016–2020),8.2,"127,417",22,
The Americans,(2013–2018),8.4,"88,962",44,
Glee,(2009–2015),6.7,"139,934",44,
Bo Burnham: Inside,(2021 TV Special),8.7,"31,108",87,
Kill Bill: Vol. 1,-2003,8.1,"1,034,554",111,$70.10M
Bartkowiak,-2021,5,398,91,
Castlevania,(2017–2021),8.3,"51,802",23,
300,-2006,7.6,"751,815",117,$210.61M
Dawson's Creek,(1998–2003),6.6,"38,117",60,
It,(I) (2017),7.3,"480,607",135,$327.48M
Pretty Little Liars,(2010–2017),7.4,"155,875",44,
Star Trek,(1966–1969),8.3,"76,213",50,
Archer,(2009– ),8.6,"141,784",22,
Spider-Man: Far from Home,-2019,7.5,"363,012",129,$390.53M
Twin Peaks,(1990–1991),8.8,"182,173",47,
The Mitchells vs the Machines,-2021,7.7,"69,482",113,
The Bold Type,(2017–2021),7.9,"16,183",45,
"Love, Death & Robots",(2019– ),8.5,"120,364",15,
Hostage House,-2021,3.7,315,85,
The Hobbit: An Unexpected Journey,-2012,7.8,"774,632",169,$303.00M
Clueless,-1995,6.8,"194,461",97,$56.63M
Ray Donovan,(2013–2020),8.3,"79,618",60,
Transformers: War for Cybertron,(2020–2021),7.4,"2,923",30,
Baywatch,-2017,5.5,"170,844",116,$58.06M
Trollhunters,(2016–2018),8.4,"14,759",23,
Snowpiercer,(2020– ),6.9,"39,433",60,
Workin' Moms,(2017– ),7.7,"12,896",30,
The Devil All the Time,-2020,7.1,"108,684",138,
Broadchurch,(2013–2017),8.4,"100,611",48,
Fast & Furious 7,-2015,7.1,"371,194",137,$353.01M
L.A.'s Finest,(2019–2020),6,"5,667",60,
Good on Paper,-2021,5.6,"8,099",92,
Iron Fist,(2017–2018),6.5,"118,859",55,
Too Hot to Handle,(2020– ),4.6,"10,008",40,
Haseen Dillruba,-2021,6.9,"18,149",135,
Hannibal,(2013–2015),8.5,"236,161",44,
Longmire,(2012–2017),8.3,"30,685",60,
Sicario,-2015,7.6,"387,903",121,$46.89M
The Fall,(I) (2013–2016),8.1,"89,590",60,
The Irishman,-2019,7.8,"345,455",209,$7.00M
Jujutsu Kaisen,(2020– ),8.7,"25,386",24,
The Lord of the Rings: The Return of the King,-2003,8.9,"1,691,777",201,$377.85M
Baby Driver,-2017,7.6,"468,655",113,$107.83M
Dynasty,(2017– ),7.3,"16,666",42,
Spider-Man,-2002,7.3,"709,684",121,$403.71M
Jumanji: The Next Level,-2019,6.7,"205,638",123,$316.83M
I Care a Lot,-2020,6.3,"109,059",118,
Love and Monsters,(I) (2020),7,"100,693",109,
Awake,(III) (2021),4.8,"16,262",96,
The Haunting of Hill House,-2018,8.6,"195,117",572,
Things Heard & Seen,-2021,5.3,"24,250",121,
NCIS: Los Angeles,(2009– ),6.7,"49,943",43,
Arrival,(II) (2016),7.9,"623,912",116,$100.55M
Taxi Driver,-1976,8.2,"752,553",114,$28.26M
Grease,-1978,7.2,"250,587",110,$188.76M
El inocente,-2021,7.9,"19,980",467,
The Movies That Made Us,(2019– ),7.8,"3,653",45,
Ragnarok,(2020– ),7.5,"31,200",45,
The King,(I) (2019),7.2,"97,848",140,
Ginny & Georgia,(2021– ),7.5,"35,247",,
Jupiter's Legacy,-2021,6.7,"31,953",56,
Designated Survivor,(2016–2019),7.5,"81,326",60,
Sing 2,-2021,,,,
White Collar,(2009–2014),8.2,"122,230",40,
The Dig,-2021,7.1,"60,598",112,
Knives Out 2,-2022,,,,
Dirty John,(2018– ),7.2,"18,088",44,
The Old Guard,-2020,6.7,"141,605",125,
Venom,-2018,6.7,"390,167",112,$213.52M
The Killing,(2011–2014),8.2,"102,312",45,
Don't Look Up,-2021,,,145,
Skins,(2007–2013),8.2,"77,286",46,
6 Underground,-2019,6.1,"150,455",128,
The Fate of the Furious,-2017,6.6,"215,795",136,$226.01M
Captain America: Civil War,-2016,7.8,"697,750",147,$408.08M
Rurôni Kenshin: Sai shûshô - The Beginning,-2021,7.8,"1,976",137,
Death Note: Desu nôto,(2006–2007),9,"262,556",24,
Naruto,(2002–2007),8.3,"79,832",24,
Black Sails,(2014–2017),8.2,"96,550",56,
Run,(I) (2020),6.7,"55,389",90,
Orphan Black,(2013–2017),8.3,"104,501",44,
Grimm,(2011–2017),7.8,"111,716",45,
Luther,(2010–2019),8.4,"125,749",60,
Sexy Beasts,(2021– ),4.7,592,,
Red Notice,-2021,,,,
Sen to Chihiro no kamikakushi,-2001,8.6,"682,809",125,$10.06M
Hotel Transylvania: Transformania,-2021,,,,
Murdoch Mysteries,(2008– ),8.1,"11,437",48,
Wish Dragon,-2021,7.2,"15,262",98,
Resident Evil: Infinite Darkness,(2021– ),5.8,"7,128",26,
Reign,(2013–2017),7.5,"45,045",42,
Elementary,(2012–2019),7.9,"103,707",60,
The Girl in the Spider's Web,-2018,6.1,"43,896",115,$14.84M
Kong: Skull Island,-2017,6.6,"294,292",118,$168.05M
The Missing,(2014–2016),8.2,"23,317",60,
Hagane no renkinjutsushi,(2009–2012),9.1,"134,855",24,
Altered Carbon,(2018–2020),8,"149,002",60,
Enterprise,(2001–2005),7.5,"48,148",60,
Black Clover,(2017–2021),8.3,"13,218",24,
Uncut Gems,-2019,7.4,"239,770",135,
American Crime Story,(2016– ),8.4,"83,137",42,
Bloodline,(2015–2017),7.9,"46,111",60,
Revenge,(2011–2015),7.8,"114,932",44,
The Revenant,-2015,8,"732,244",156,$183.64M
Z Nation,(2014–2018),6.7,"34,226",44,
Polar,(I) (2019),6.3,"80,553",118,
Kim's Convenience,(2016–2021),8.2,"12,443",22,
Grace and Frankie,(2015–2021),8.3,"41,520",30,
The Lord of the Rings: The Two Towers,-2002,8.7,"1,529,752",179,$342.55M
Love Is Blind,(2020– ),6.1,"5,342",48,
Legally Blonde,-2001,6.3,"195,752",96,$96.52M
Jessica Jones,(2015–2019),7.9,"198,056",56,
Rust Creek,-2018,5.9,"9,263",108,
American Vandal,(2017–2018),8.2,"28,093",34,
Cheers,(1982–1993),7.9,"49,886",22,
Ocean's Eight,-2018,6.3,"197,909",110,$140.22M
America: The Motion Picture,-2021,5.7,"4,485",98,
That '70s Show,(1998– ),8,"157,990",22,
Below Deck Mediterranean,(2016– ),7.3,"1,327",43,
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,6.5,"276,173",129,$172.56M
Sense8,(2015–2018),8.3,"144,032",60,
How to Become a Tyrant,(2021– ),7.4,"3,700",,
Dead to Me,(2019– ),8,"61,944",30,
Narcos: México,(2018– ),8.4,"64,838",50,
2001: A Space Odyssey,-1968,8.3,"622,998",149,$56.95M
Adventure Time,(2010–2018),8.6,"81,525",11,
Nanatsu no taizai,(2014–2021),8,"26,282",24,
My Unorthodox Life,(2021– ),5.1,742,,
Slasher,(2016– ),6.7,"12,031",60,
Anne,(2017–2019),8.7,"43,433",60,
The Tudors,(2007–2010),8.1,"70,514",60,
Batman v Superman: Dawn of Justice,-2016,6.4,"657,423",152,$330.36M
Pose,(2018–2021),8.6,"23,179",60,
Cider no yô ni kotoba ga wakiagaru,-2020,7,941,87,
News of the World,-2020,6.8,"69,037",118,
Mother!,-2017,6.6,"201,141",121,$17.80M
Emily in Paris,(2020– ),7,"55,757",30,
National Lampoon's Animal House,-1978,7.5,"115,289",109,$0.20M
The Affair,(2014–2019),7.9,"42,129",60,
Honest Thief,-2020,6,"40,186",99,
The End of the F***ing World,(2017–2019),8.1,"157,802",25,
Midnight in Paris,-2011,7.7,"399,157",94,$56.82M
Lost in Space,(2018– ),7.3,"76,255",60,
Wentworth,(2013–2021),8.6,"18,080",45,
After Life,(2019– ),8.4,"91,972",30,
The Fresh Prince of Bel-Air,(1990–1996),7.9,"125,167",22,
Kill Bill: Vol. 2,-2004,8,"706,053",137,$66.21M
Bates Motel,(2013–2017),8.1,"100,394",45,
Moneyball,-2011,7.6,"386,263",133,$75.61M
Behind Her Eyes,-2021,7.2,"47,174",298,
Biohackers,(2020– ),6.8,"7,563",44,
Extraction,-2020,6.7,"174,406",116,
The IT Crowd,(2006–2013),8.5,"138,970",25,
Californication,(2007–2014),8.3,"174,076",28,
Beastars,(2019– ),7.8,"7,429",23,
3rd Rock from the Sun,(1996–2001),7.7,"48,780",60,
Big Mouth,(2017– ),7.9,"61,304",30,
Snowpiercer,-2013,7.1,"335,946",126,$4.56M
Locke & Key,(2020– ),7.4,"47,717",48,
300: Rise of an Empire,-2014,6.2,"286,734",102,$106.58M
Kimi no na wa.,-2016,8.4,"217,433",106,$5.02M
Travelers,(2016–2018),8.1,"49,197",45,
Black Lightning,(2017–2021),6.1,"23,354",43,
Booksmart,-2019,7.2,"103,143",102,$22.68M
The Water Man,(I) (2020),5.3,"1,978",91,
Chesapeake Shores,(2016– ),7.5,"5,407",42,
Oxygène,-2021,6.5,"27,918",100,
Jaws 2,-1978,5.8,"73,931",116,$102.92M
Enola Holmes,-2020,6.6,"145,206",123,
Rurôni Kenshin: Sai shûshô - The Final,-2021,7.2,"4,682",138,
Chilling Adventures of Sabrina,(2018–2020),7.5,"82,557",60,
Marcella,(2016– ),7.4,"26,485",45,
Tropic Thunder,-2008,7,"391,033",107,$110.52M
Freaks and Geeks,(1999–2000),8.7,"133,607",44,
iZombie,(2015–2019),7.8,"62,258",42,
Spirit Untamed,-2021,5.4,"1,741",88,
Poldark,(2015–2019),8.3,"27,588",60,
Beauty and the Beast,(I) (2017),7.1,"284,484",129,$504.01M
Penny Dreadful,(2014–2016),8.2,"115,055",60,
Unbelievable,-2019,8.4,"81,658",385,
Fate: The Winx Saga,(2021– ),6.9,"30,827",,
Feel Good,(2020–2021),7.5,"7,949",30,
Bodyguard,-2018,8.1,"103,187",60,
The Legend of Korra,(2012–2014),8.4,"109,581",23,
Bird Box,-2018,6.6,"297,927",124,
She-Ra and the Princesses of Power,(2018–2020),7.9,"11,967",30,
Scorpion,(2014–2018),7.1,"48,387",43,
Derry Girls,(2018– ),8.4,"24,293",30,
Hell or High Water,(II) (2016),7.6,"211,816",102,$26.86M
The Babysitter,(I) (2017),6.3,"79,593",85,
Marriage Story,-2019,7.9,"266,307",137,$2.00M
Ratched,(2020– ),7.3,"44,914",,
Annihilation,-2018,6.8,"293,459",115,$32.73M
Fractured,(I) (2019),6.4,"62,113",99,
El Camino: A Breaking Bad Movie,-2019,7.3,"200,029",122,
Godless,-2017,8.3,"56,997",452,
Haikyuu!!,(2014–2020),8.7,"15,250",24,
Wind River,-2017,7.7,"218,337",107,$33.80M
Dirilis: Ertugrul,(2014–2019),8,"31,182",120,
Frozen,(I) (2013),7.4,"586,769",102,$400.74M
The Haunting of Bly Manor,-2020,7.4,"77,872",494,
Charlie's Angels,-2019,4.8,"62,393",118,
Love,(2016–2018),7.7,"39,010",50,
Spenser Confidential,-2020,6.2,"77,727",111,
Centaurworld,(2021– ),7.5,207,25,
Lo imposible,-2012,7.6,"208,903",114,$19.02M
Shadowhunters: The Mortal Instruments,(2016–2019),6.6,"56,183",42,
The Ranch,(2016–2020),7.5,"35,091",30,
Shooter,(2016–2018),7.5,"33,000",60,
Zoo,(2015–2017),6.7,"23,095",42,
The Trial of the Chicago 7,-2020,7.8,"153,211",129,
Comment je suis devenu super-héros,-2020,5.8,"3,214",97,
Stowaway,-2021,5.6,"36,937",116,
The Nice Guys,-2016,7.4,"295,435",116,$36.26M
The Snowman,-2017,5.1,"60,354",119,$6.67M
Moonrise Kingdom,-2012,7.8,"328,550",94,$45.51M
Contagion,-2011,6.7,"290,444",106,$75.66M
Nashville,(2012–2018),7.7,"23,735",43,
This Is England,-2006,7.7,"117,889",101,$0.33M
El hoyo,-2019,7,"183,495",94,
Scream,(2015–2019),7.1,"35,660",45,
Halston,-2021,7.5,"10,460",240,
Castle Rock,(2018–2019),7.6,"40,731",60,
Misfits,(2009–2013),8.2,"95,735",60,
Medici,(2016–2019),7.9,"16,659",60,
I'm Thinking of Ending Things,-2020,6.6,"71,640",134,
Willy Wonka & the Chocolate Factory,-1971,7.8,"186,202",100,$4.00M
Fantasy Island,-2020,4.9,"41,744",109,
Doc Martin,(2004– ),8.3,"13,580",46,
Homefront,(I) (2013),6.5,"113,476",100,$20.16M
The Power of the Dog,-2021,,,125,
Dead Poets Society,-1989,8.1,"443,357",128,$95.86M
Contratiempo,-2016,8.1,"157,061",106,
There's Something About Mary,-1998,7.1,"298,729",119,$176.48M
Trailer Park Boys,(2001–2018),8.5,"38,861",30,
Binsenjo,(2021– ),8.5,"7,888",80,
Full House,(1987–1995),6.7,"54,419",22,
The OA,(2016–2019),7.8,"94,862",60,
Lucy,(I) (2014),6.4,"462,122",89,$126.66M
Will & Grace,(1998–2020),7.2,"52,269",22,
Luke Cage,(2016–2018),7.3,"120,187",55,
GLOW,(2017–2019),8,"42,221",35,
Wet Hot American Summer: Ten Years Later,-2017,6.9,"7,784",216,
The Mummy,-2017,5.4,"177,592",110,$80.10M
When They See Us,-2019,8.9,"102,201",296,
22 July,-2018,6.8,"30,905",143,
When Calls the Heart,(2014– ),8.1,"11,306",43,
A Series of Unfortunate Events,(2017–2019),7.8,"55,753",50,
Birdman or (The Unexpected Virtue of Ignorance),-2014,7.7,"595,946",119,$42.34M
RuPaul's Drag Race All Stars,(2012– ),8.5,"6,644",60,
Sophie: A Murder in West Cork,-2021,6.9,"3,235",164,
Knock Knock,(I) (2015),4.9,"87,474",99,$0.04M
Madam Secretary,(2014–2019),7.6,"20,755",45,
Hauru no ugoku shiro,-2004,8.2,"351,466",119,$4.71M
The Alienist,(2018–2020),7.7,"48,646",60,
Now You See Me,(I) (2013),7.2,"614,056",115,$117.72M
Hell's Kitchen,(2005– ),7.1,"19,419",42,
The Ballad of Buster Scruggs,-2018,7.3,"130,664",133,
The Lost World: Jurassic Park,-1997,6.6,"390,425",129,$229.09M
The Politician,(2019– ),7.5,"19,735",42,
Marco Polo,(2014–2016),8,"67,083",60,
Tattoo Redo,(2021– ),5.6,232,,
Shameless,(2004–2013),8,"15,630",90,
Top Gear,(2002– ),8.6,"111,345",60,
Vanquish,-2021,2.7,"3,010",94,
Sweet Magnolias,(2020– ),7.4,"10,096",,
Geostorm,-2017,5.3,"99,724",109,$33.70M
The Bureau of Magical Things,(2018– ),6.8,"1,349",25,
Rojst,(2018– ),7,"3,471",50,
Sausage Party,-2016,6.1,"181,775",89,$97.69M
A Futile and Stupid Gesture,-2018,6.8,"14,676",101,
Eurovision Song Contest: The Story of Fire Saga,-2020,6.5,"84,242",123,
Russian Doll,(2019– ),7.9,"72,588",30,
Sa-rang-eui bul-sa-chak,(2019–2020),8.7,"16,879",70,
The Next Three Days,-2010,7.3,"189,815",133,$21.15M
Maniac,-2018,7.8,"69,384",386,
Moonlight,(I) (2016),7.4,"285,273",111,$27.85M
In the Heart of the Sea,-2015,6.9,"128,605",122,$25.02M
The Babysitter: Killer Queen,-2020,5.8,"31,220",101,
Final Space,(2018– ),8.3,"36,443",30,
Into the Badlands,(2015–2019),8,"43,147",42,
Firefly Lane,(2021– ),7.4,"16,674",,
Manhunt,(II) (2017– ),8.1,"54,164",60,
Kingdom,(2014–2017),8.5,"16,565",43,
Wet Hot American Summer: First Day of Camp,-2015,7.4,"22,906",30,
Rebecca,(I) (2020),6,"35,836",123,
Master of None,(2015– ),8.3,"70,472",30,
The Stranger,(I) (2020),7.3,"38,697",363,
Contact,-1997,7.5,"261,289",150,$100.92M
The Kissing Booth,-2018,6,"72,207",105,
Top Boy,(2011– ),8.4,"14,832",60,
Climax,(I) (2018),7,"58,051",97,$0.80M
Vivo,(I) (2021),7.3,27,95,
Gods of Egypt,-2016,5.4,"109,959",127,$31.15M
Mank,-2020,6.9,"63,893",131,
Bleach: Burîchi,(2004–2012),8.1,"46,537",24,
¿Quién Mató a Sara?,(2021– ),6.4,"10,387",,
X-Ray: Selected Satyajit Shorts,(2021– ),7.2,"7,023",65,
The Dirt,-2019,7,"43,022",107,
The Real Housewives of Beverly Hills,(2010– ),5.1,"5,326",44,
Gerald's Game,-2017,6.5,"95,660",103,
Outlaw King,-2018,6.9,"64,076",121,
Another Life,(2019– ),5,"25,983",43,
Crazy Ex-Girlfriend,(2015–2019),7.8,"17,902",42,
Yakusoku no Neverland,(2019–2021),8.5,"28,438",23,
He's All That,-2021,,,,
High School DxD,(2012–2018),7.6,"8,085",23,
Fuller House,(2016–2020),6.7,"25,578",30,
Thunder Force,-2021,4.4,"35,640",106,
The Midnight Sky,-2020,5.6,"75,985",118,
Breach,(IV) (2020),3.1,"10,958",92,
Rosemary's Baby,-1968,8,"201,472",137,
Below Deck,(2013– ),7.3,"2,222",43,
Kung Fu Panda 3,-2016,7.1,"141,657",95,$143.53M
Bright,(I) (2017),6.3,"175,334",117,
H2O: Just Add Water,(2006–2010),7.2,"13,458",23,
Colony,(2016–2018),7.4,"32,620",42,
Deep,-2021,4.9,738,101,
From Dusk Till Dawn: The Series,(2014–2016),6.9,"19,559",45,
Ender's Game,-2013,6.6,"228,812",114,$61.74M
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,(2006–2012),8.7,"55,979",24,
Alice in Borderland,(2020– ),7.7,"22,347",50,
Planet of the Apes,-1968,8,"170,681",112,$33.40M
Shot Caller,-2017,7.3,"77,040",121,
Ash vs Evil Dead,(2015–2018),8.4,"67,180",30,
Pieces of a Woman,-2020,7.1,"41,856",126,
Yes Day,-2021,5.7,"19,062",86,
The Ritual,(I) (2017),6.3,"84,230",94,
Force of Nature,-2020,4.5,"9,016",91,
Downsizing,-2017,5.7,"102,222",135,$24.45M
Fruits Basket,(2019–2021),8.6,"3,549",24,
Murder Mystery,-2019,6,"110,725",97,
Poketto monsutâ,(1997– ),7.5,"39,553",24,
Cursed,-2020,5.9,"25,954",60,
Lone Survivor,-2013,7.5,"273,061",121,$125.10M
"Extremely Wicked, Shockingly Evil and Vile",-2019,6.7,"84,387",110,
Henry Danger,(2014–2020),5.7,"3,933",30,
Under the Dome,(2013–2015),6.6,"102,725",43,
The Founder,-2016,7.2,"134,759",115,$12.79M
Mononoke-hime,-1997,8.4,"359,473",134,$2.38M
Space Force,(2020– ),6.7,"49,116",30,
Timeless,(2016–2018),7.7,"38,791",60,
Seutateueob,(2020– ),8.1,"5,778",80,
La catedral del mar,-2018,7.5,"3,574",55,
Beckett,-2021,,,108,
Triple Frontier,-2019,6.4,"115,059",125,
Fondeados,-2021,4.2,161,97,
Sweet Home,(2020– ),7.4,"12,428",52,
101 Dalmatians,-1996,5.7,"106,580",103,$136.19M
Warrior Nun,(2020– ),6.9,"24,525",,
The Irregulars,-2021,5.9,"12,624",,
Party of Five,(1994–2000),6.8,"9,709",60,
Lilyhammer,(2012–2014),8,"27,587",45,
Frontier,(2016–2018),7.2,"18,202",60,
El Cartel de los Sapos - El Origen,(2021– ),5.5,26,,
Rampage,-2018,6.1,"151,688",107,$101.03M
The Croods,-2013,7.2,"200,206",98,$187.17M
Safe,-2018,7.3,"34,984",356,
The Firm,-1993,6.8,"124,972",154,$158.35M
Fauda,(2015– ),8.2,"21,689",60,
The Clovehitch Killer,-2018,6.6,"21,572",109,$0.01M
Serebryanye konki,-2020,7.1,"3,082",130,
The Last Dance,-2020,9.1,"93,041",491,
Death Wish,-2018,6.3,"68,094",107,$34.02M
We Can Be Heroes,(II) (2020),4.7,"12,202",100,
The Blues Brothers,-1980,7.9,"188,459",133,$57.23M
The Highwaymen,-2019,6.9,"81,703",132,
Unknown,(I) (2011),6.8,"253,999",113,$63.69M
Father of the Bride Part 3 (ish),-2020,7,669,26,
Somos.,-2021,7.2,726,55,
Hunt for the Wilderpeople,-2016,7.9,"118,166",101,$5.20M
Eliza Graves,-2014,6.8,"53,438",112,
Shin seiki evangerion,(1995–1996),8.5,"55,618",24,
